Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,Tiny_URL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
eevee.tv,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,1
appleid.apple.com-sa.pm,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1
grandcup.xyz,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
villa-azzurro.com,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1
mygpstrip.net,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1
35.199.84.117,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
milpitaslions.com,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1
pastimenangqq101.com,0,0,0,3,0,0,0,0,0,1,1,1,0,0,1,0,1
firebasestorage.googleapis.com,0,1,1,5,0,0,1,0,1,1,1,1,0,0,1,0,1
cheaproomsvalencia.com,0,0,1,5,0,0,0,0,0,0,0,1,1,0,1,0,1
aprenderparaser.com.br,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
kinemind.com,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,1
han.gl,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1
u.to,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1
faktor.rs,0,0,0,3,0,0,0,0,0,1,1,1,0,0,1,0,1
centromusicalpaternense.es,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1
verificare.sella.corporateportal.aggiorniituoidati.com,0,0,1,4,0,0,0,0,0,1,0,1,1,1,1,1,1
appleid.apple.com-sa.pm,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1
biced.iainbukittinggi.ac.id,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,1
paxful-service.com,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1
sportbeclick.com,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,1
yamionmsuz.com,0,0,1,8,0,0,0,0,0,1,0,0,0,0,1,0,1
dailyexclusiveoffer.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,1
app-sicredi-br.wpdevcloud.com,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1
maticcoupon.com,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,1
ig-fosa.ch,0,0,0,2,0,0,0,1,0,1,1,1,0,0,1,0,1
enigreen.net,0,0,1,3,0,0,0,0,0,1,0,0,0,0,1,0,1
bancoestado700.blogspot.com,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1
webapp186332.ip-172-104-4-187.cloudezapp.io,0,0,1,6,0,0,0,1,0,0,0,0,1,1,1,1,1
digibarre.pt,0,0,0,4,0,0,0,0,0,1,0,1,0,0,1,0,1
bitscases.gq,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1
icloud.com.apple-findmyiphone.world,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1
ovastor.egnyte.com,0,0,0,2,0,0,0,0,0,1,0,0,1,1,1,1,1
payuupal.ddns.net,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
email302.com,0,0,1,6,0,0,0,0,1,1,1,1,0,0,1,1,1
playarprint.com,0,0,1,2,0,0,1,0,0,1,0,0,0,0,1,0,1
deref-gmx.net,0,0,1,4,1,0,0,1,0,1,0,1,0,0,1,0,1
mobileacesso24horas.com,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1
wwedvm.appspot.com,0,1,1,2,0,0,1,0,0,1,1,1,0,0,1,0,1
flightstoeurope.us,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,1
theaquaticmall.com,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,1
ltaucard.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
bitnskins.com,0,0,1,2,1,0,0,0,0,1,0,1,1,0,1,0,1
kersgam.com,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,1
dropbox.com,0,0,1,2,0,0,1,0,0,1,0,0,0,0,1,0,1
marreme.com,0,0,0,2,0,0,0,0,1,1,1,1,0,0,1,0,1
docs.google.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,1
lakeviewinnvermont.com,0,0,1,4,0,0,1,0,0,1,0,1,0,0,1,0,1
coupedeparis.f3m.free.fr,0,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,1
greatescapesworkshop.com,0,1,1,8,0,0,0,0,0,1,1,1,0,0,1,0,1
forms.office.com,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,1
sites.google.com,0,0,1,3,0,0,0,0,0,1,0,0,0,0,1,0,1
earlystickgraft.com,0,0,1,2,0,0,1,0,0,0,1,1,0,0,1,0,1
zcvalkenburg.nl,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1
123formbuilder.com,0,0,1,2,0,0,0,0,0,1,1,0,0,0,1,0,1
kanzleiservice.de,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
tik.info.pl,0,0,1,8,0,0,0,0,0,1,0,0,0,0,1,0,1
sites.google.com,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0,1
itaucomvoce.com,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
mobrandsglobal.com,0,0,0,3,0,0,0,0,1,0,1,1,0,0,1,0,1
acessoriamente.com,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1
docs.google.com,0,0,1,5,0,0,0,0,1,1,1,1,0,0,1,0,1
docs.google.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,1
cache.nebula.phx3.secureserver.net,0,0,1,2,0,0,0,0,1,1,1,1,0,0,1,0,1
dbsdemoonline.com,0,0,1,4,0,0,0,0,0,0,1,1,0,0,1,0,1
locksmail.com,0,0,1,7,0,0,0,0,0,1,1,1,0,0,1,0,1
cafecitoperez.ivanidzakovic.com,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,0,1
upd-medlav.net,0,0,1,2,0,0,0,1,0,1,0,1,0,0,1,0,1
login.live.com.skyhigh9157.ms-office-365-email.skyhigh9157.myshn.net,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
verify.mypaypdetails.com,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
bradesconext.digital,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
lum4.com,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1
kaizenpak.com,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,1
chunkyfrog.co.uk,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,1
rebrand.ly,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
livraisonspeed01.cloudaccess.host,0,0,1,2,0,0,0,0,0,1,1,1,0,0,1,0,1
atualizarboletovencido.com.br,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1
locksmail.com,0,0,1,7,0,0,0,0,0,1,0,1,0,0,1,0,1
developsys.net,0,0,0,5,0,0,0,0,0,1,0,0,0,0,1,0,1
lynkos.com.br,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1
trsresourcing-my.sharepoint.com,0,0,1,7,0,0,1,1,0,1,0,1,0,0,1,0,1
gulfeducationservices.com,0,0,1,4,0,0,0,0,0,0,0,1,0,0,1,0,1
mercvdonegro.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,1
punnetthomes.com,0,0,0,3,0,0,0,0,0,1,1,1,0,0,1,0,1
synergyathletictraining.com,0,0,1,7,0,0,0,0,0,0,1,1,0,0,1,0,1
christiantidings.com,0,0,1,3,0,0,0,0,0,1,0,1,0,0,1,0,1
debbyfoodshop.com,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,1
taijishentie.com,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1
absa.ent.box.com,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
trydent.org,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,1
koreansamurai.com.au,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,1
cafecitoperez.ivanidzakovic.com,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,1
docs.google.com,0,0,1,5,0,0,0,0,0,1,1,1,0,0,1,0,1
betasus-giir.blogspot.com,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1
my-paypal-verification.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
scorva.com,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,1
networksgates.ma,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1
perdoesdiesel.com.br,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1
caribconnectlaw.com,0,0,1,5,0,0,0,0,0,1,0,0,0,0,1,0,1
wspolnie.com.pl,0,0,0,3,0,0,0,0,0,1,1,1,0,0,1,0,1
heeressport.at,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1
acercandoelcine.cl,0,1,1,3,0,0,0,0,0,1,0,1,0,0,1,0,1
davidsonandbeks.com,0,0,0,2,0,0,0,0,1,1,1,1,0,0,1,0,1
capminvestment.com,0,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1
14.140.233.72,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
ww33.informeapp.me,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1
t.co,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1
vergaralandscaping.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
exoticslimmingherbs.com,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1
mockup.metradigitalmedia.com,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1
zilojo.com,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,1
versionprowebss.myfreesites.net,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
advonationusa.com,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,1
fidoprovider.com,0,0,1,6,0,0,0,0,0,1,0,1,0,0,1,0,1
stikerpackvkk.000webhostapp.com,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
docs.google.com,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,1
